Epoch,loss,accuracy,val_loss,val_accuracy,test_loss,test_accuracy
0,4.2667,0.0949,3.2877,0.3039,3.2521,0.3066
1,2.0014,0.5443,1.1429,0.6952,1.1473,0.6899
2,0.7027,0.8343,0.5335,0.8505,0.5781,0.8364
3,0.2697,0.9523,0.4689,0.8637,0.5041,0.8657
4,0.1408,0.9882,0.4811,0.8715,0.5432,0.8765
5,0.0878,1.0035,0.4613,0.8818,0.4836,0.8774
6,0.0552,1.0152,0.4476,0.8886,0.4919,0.8804
7,0.0347,1.0217,0.4260,0.8979,0.4939,0.8989
8,0.0517,1.0148,0.4803,0.8803,0.4898,0.8774
9,0.0382,1.0212,0.4318,0.8994,0.4518,0.8828
10,0.0213,1.0275,0.4043,0.9028,0.4837,0.8896
11,0.0164,1.0275,0.3966,0.9091,0.4379,0.9038
12,0.0091,1.0302,0.4118,0.9145,0.4476,0.9067
13,0.0228,1.0263,0.4454,0.9023,0.5095,0.8872
14,0.0158,1.0282,0.4256,0.9135,0.4619,0.9019
15,0.0071,1.0309,0.4145,0.9145,0.4609,0.9033
16,0.0076,1.0310,0.4937,0.9111,0.4972,0.8999
17,0.0098,1.0293,0.4607,0.9096,0.4785,0.8975
18,0.0191,1.0261,0.4467,0.9067,0.4542,0.9009
19,0.0216,1.0252,0.4328,0.9101,0.4477,0.8999
